id|arquivo_nome|caminho|tamanho_segmento|start_split|end_split|whisper|wav2vec2|levenshtein_similarity|utilizou_denoiser
LowuyZ3|LowuyZ3_B84-_1__segment_002_stt_009|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_002_stt_009.flac|5.5|120.03|125.53|Nunca teve um amigo com a cabeça em seu ombro, respirando com dificuldade, precisando de ajuda, perdendo a saúde.|NUNCA TEVE UM AMIGO COM A CABEÇA EM SEU OMBRO RESPIRANDO COM DIFICULDADE PRECISANDO DE AJUDA PERDENDO A SAÚDE|1.0|True
LowuyZ3|LowuyZ3_B84-_1__segment_002_stt_010|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_002_stt_010.flac|2.950000000000017|129.01|131.96|Se eu lhe perguntar sobre o amor, eu imagino o que vai dizer.|SE EU LHE PERGUNTAR SOBRE AMOR EU IMAGINO O QUE VAI DIZER|0.966102|True
LowuyZ3|LowuyZ3_B84-_1__segment_002_stt_011|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_002_stt_011.flac|2.8499999999999943|134.21|137.06|Mas você nunca teve uma mulher toda vulnerável nos braços.|MAS VOCÊ NUNCA TEVE UMA MULHER TODA AVULNERÁVEL NOS BRAÇOS|0.982759|True
LowuyZ3|LowuyZ3_B84-_1__segment_002_stt_012|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_002_stt_012.flac|2.059999999999974|138.61|140.67|Com quem você pudesse se comunicar só com os olhos?|COM QUE VOCÊ PUDESSE SE COMUNICAR SÓ COM OS OLHOS|0.98|True
LowuyZ3|LowuyZ3_B84-_1__segment_002_stt_013|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_002_stt_013.flac|2.5999999999999943|142.93|145.53|como se fosse um anjo colocado na terra só pra você.|COMO SE FOSSE UM ANJO COLOCADO NA TERRA SÓ PARA VOCÊ|0.980769|True
LowuyZ3|LowuyZ3_B84-_1__segment_002_stt_014|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_002_stt_014.flac|4.859999999999985|147.49|152.35|lutando com o que lhe sobrava de saúde, achando que você poderia ser um anjo dela.|LUTANDO COM QUE LHE SOBRAVA DE SAÚDE ACHANDO QUE VOCÊ PODERIA SER UM ANJUTELA|0.9375|True
LowuyZ3|LowuyZ3_B84-_1__segment_002_stt_015|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_002_stt_015.flac|5.800000000000011|153.85|159.65|Achando que você poderia estar ao lado dela para sempre, suportando tudo. Até o câncer.|ACHANDO QUE VOCÊ PODERIA ESTAR AO LADO DELA PARA SEMPRE SUPORTANDO TUDO ATÉ O CÂNSER|0.988095|True
LowuyZ3|LowuyZ3_B84-_1__segment_002_stt_016|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_002_stt_016.flac|8.449999999999989|161.56|170.01|Você não sabe o que é ficar sentado em um hospital durante dois meses segurando a mão dela e um médico podendo ver em seus olhos que o horário de visitas não fazia sentido para você.|VOCÊ NÃO SABE QUER FICAR SENTADO EM UM HOSPITAL DURANTE DOIS MESES E SEGURANDO A MÃO DELA E UM MÉDICO PODENDO VER EM SEUS OLHOS QUE O HORELO DE VISITAS NÃO FAZIA SENTIDO PARA VOCÊ|0.950276|True
LowuyZ3|LowuyZ3_B84-_1__segment_002_stt_017|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_002_stt_017.flac|5.680000000000007|172.65|178.33|Você não sabe o que é a perda, porque ela só ocorre quando você ama alguém mais do que você mesmo.|VOCÊ NÃO SABE O QUE É A PERDA PORQUE ELA SÓ OCORRE QUANDO VOCÊ AMA ALGUÉM MAIS DO QUE VOCÊ MESMO|1.0|True
LowuyZ3|LowuyZ3_B84-_1__segment_003_stt_018|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_003_stt_018.flac|2.4000000000000057|180.03|182.43|Douvido que você tem amado seu pai ou alguém tanto assim.|DEUVIDO QUE VOCÊ TEM AMADO SEU PAI OU ALGUÉM TANTO ASSIM|0.982143|True
LowuyZ3|LowuyZ3_B84-_1__segment_003_stt_019|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_003_stt_019.flac|3.859999999999985|186.21|190.07|Eu olho para você e não vejo um homem inteligente e confiante.|EU OLHA PARA VOCÊ E NÃO VEJO UM HOMEM INTELIGENTE E CONFIANTE|0.983607|True
LowuyZ3|LowuyZ3_B84-_1__segment_003_stt_020|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_003_stt_020.flac|2.8400000000000034|193.51|196.35|Eu vejo um garoto metido, briguento e assustado.|EU VEJO UM GAROTO OMITIDO BRIGUANTO E ASSUSTADO|0.93617|True
LowuyZ3|LowuyZ3_B84-_1__segment_003_stt_021|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_003_stt_021.flac|5.539999999999992|198.69|204.23|Mas você é um gênio, eu. Ninguém pode negar isso. Ninguém pode avaliar o quanto você é profundo.|MAS VOCÊ É UM GÊNIO EU NINGUÉM PODE NEGAR ISSO NINGUÉM PODE AVALIAR O QUANTO VOCÊ É PROFUNDO|1.0|True
LowuyZ3|LowuyZ3_B84-_1__segment_003_stt_022|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_003_stt_022.flac|4.860000000000014|205.76|210.62|Mas você presume que sabe tudo a meu respeito só porque viu o meu quadro e resolveu acabar com a minha vida.|MAS VOCÊ PRESUME QUE SABE TUDO O MEU RESPEITO SÓ PORQUE VI O MEU QUADRO E RESOLVEU ACABAR COM A MINHA VIDA|0.981308|True
LowuyZ3|LowuyZ3_B84-_1__segment_003_stt_023|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_003_stt_023.flac|7.97999999999999|222.02|230.0|Acha que eu tenho condições de saber como foi sua vida, como você se sente, quem você é, só porque eu li Oliver Twist?|ACHA QUE EU TENHO CONDIÇÕES DE SABER COMO FOI SUA VIDA COMO VOCÊ SE SENTE QUEM VOCÊ É SÓ PORQUE EU LIOLVER S|0.947368|True
LowuyZ3|LowuyZ3_B84-_1__segment_003_stt_024|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_003_stt_024.flac|3.539999999999992|236.43|239.97|Pois olha, eu não dou a mínima pra nada disso, quer saber porquê?|POIS OLHA MEU NÃO DOU A MÍNIMA PARA NADA DISSO QUEI SABER POR QUE|0.938462|True
LowuyZ3|LowuyZ3_B84-_1__segment_004_stt_025|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_004_stt_025.flac|3.6999999999999886|240.03|243.73|Eu não posso saber nada sobre você só lendo alguma porcaria de livro.|EU NÃO POSSO SABER NADA SOBRE VOCÊ SÓ LENDO ALGUMA PORCARIA DE LIVRO|1.0|True
LowuyZ3|LowuyZ3_B84-_1__segment_004_stt_026|audio_dataset/LowuyZ3/LowuyZ3_B84-_1__segment_004_stt_026.flac|2.9000000000000057|245.92|248.82|Amenos que queira me falar sobre você, quem você é.|AO MENOS QUE QUER ME FALAR SOBRE VOCÊ QUEM VOCÊ É|0.918367|True
7gKesMdueF0zjgOXXVKYUf|7gKesMdueF0zjgOXXVKYUf_6ca74f659609d78697a2bfc8fb5eb460a699751b_segment_000_stt_001|audio_dataset/7gKesMdueF0zjgOXXVKYUf/7gKesMdueF0zjgOXXVKYUf_6ca74f659609d78697a2bfc8fb5eb460a699751b_segment_000_stt_001.flac|||||EMIO QOALDO APRESENTO RACISMO DESSAGUADORO DO PROCESSO DE COLONIZAÇÃO E ESCRAVIDÃO E REFLEXO DO PROCESSO DE HERARQIZAÇÃO HUMANA A RARE DETALHA MUITOS ASPECTOS DA EXPERIÊNCIA DOS NEGROS NUZEUA E TAMBÉM A POLITICA DO APARTAIT QUE ATÉ A METADE O SÉCULO VINTE RODULAVA NEGROS COM OMEIOS INTELLIGENTES BORNATUREZA POUCOS CONFIÁVEIS E OIOA|0.0|True
